id,name,elevation,latitude_dms,longitude_dms,latitude_dd,longitude_dd,cities_id,cod_mapa
197,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BOM JESUS DO PIAUI/PI,331.00,09°05'S,44°19'W,,,3397,
198,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PAULISTANA/PI,374.22,08°04'S,41°04'W,,,3521,
199,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SÃO JOÃO DO PIAUÍ/PI,235.00,08°21'S,42°15'W,,,3560,
200,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PIRIPIRI/PI,161.20,04°15'S,41°46'W,,,3529,
201,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALVORADA DO GURGUÉIA/PI,270.00,08°26'S,43°51'W,,,3374,
202,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CARACOL/PI,523.00,09°17'S,43°19'W,,,3418,
203,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ESPERANTINA/PI,65.00,03°54'S,42°14'W,,,3445,
204,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PICOS/PI,233.00,07°04'S,41°24'W,,,3525,
205,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE S. RAIMUNDO NONATO/PI,402.00,09°01'S,42°42'W,,,3571,
206,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE URUÇUI/PI,393.00,07°28'S,44°20'W,,,3583,
207,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE OEIRAS/PI,156.00,06°58'S,42°08'W,,,3508,
208,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CASTELO DO PIAUÍ/PI,286.00,05°20'S,41°30'W,,,3421,
209,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SÃO PEDRO DO PIAUÍ/PI,287.00,05°54'S,42°43'W,,,3570,
210,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE VALENÇA DO PIAUÍ/PI,301.00,06°23'S,41°44'W,,,3584,
211,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GILBUÉS/PI,425.00,09°52'S,45°20'W,,,3456,
212,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CANTO DO BURITI/PI,308.00,08°07'S,42°58'W,,,3415,
213,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NATAL/RN,48.60,05°54'S,35°12'W,,,3769,
